experiment,model,train_csv,val_csv,test_csv,input_mode,loss,augment_mode,sampler,sampler_alpha,lr,image_size,batch_size,epochs,time_limit,num_workers
b100_a_full_pre_deeplabv3plus_resnet50_bce_dice,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,bce-dice,building-safe,none,4,1e-4,1024,2,100,07:00:00,4
b100_a_full_pre_deeplabv3plus_resnet50_focal_dice,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-dice,building-safe,none,4,1e-4,1024,2,100,07:00:00,4
b100_a_full_pre_deeplabv3plus_resnet50_focal_tversky,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-safe,none,4,1e-4,1024,2,100,07:00:00,4
b100_a_full_pre_deeplabv3plus_effb3_bce_dice,deeplabv3plus_effb3,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,bce-dice,building-safe,none,4,1e-4,1024,2,100,07:00:00,4
b100_a_full_pre_deeplabv3plus_effb3_focal_dice,deeplabv3plus_effb3,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-dice,building-safe,none,4,1e-4,1024,2,100,07:00:00,4
b100_a_full_pre_deeplabv3plus_effb3_focal_tversky,deeplabv3plus_effb3,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-safe,none,4,1e-4,1024,2,100,07:00:00,4
b100_b_full_prepost_deeplabv3plus_resnet50_focal_tversky,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre-post,focal-tversky,building-safe,none,4,1e-4,1024,2,100,07:00:00,4
b100_b_full_prepost_deeplabv3plus_effb3_focal_tversky,deeplabv3plus_effb3,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre-post,focal-tversky,building-safe,none,4,1e-4,1024,2,100,07:00:00,4
b100_c_full_pre_deeplabv3plus_resnet50_none_focal_tversky,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,none,none,4,1e-4,1024,2,100,07:00:00,4
b100_c_full_pre_deeplabv3plus_resnet50_strong_focal_tversky,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-strong,none,4,1e-4,1024,2,100,07:00:00,4
b100_d_full_pre_deeplabv3plus_resnet50_sampler4_focal_tversky,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-safe,building-sqrt,4,1e-4,1024,2,100,07:00:00,4
b100_d_full_pre_deeplabv3plus_resnet50_sampler8_focal_tversky,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-safe,building-sqrt,8,1e-4,1024,2,100,07:00:00,4
b100_e_full_pre_deeplabv3plus_resnet50_lr5e5_focal_tversky,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-safe,none,4,5e-5,1024,2,100,07:00:00,4
b100_e_full_pre_deeplabv3plus_resnet50_lr2e4_focal_tversky,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-safe,none,4,2e-4,1024,2,100,07:00:00,4
